Date,Open,High,Low,Close,Adj Close,Volume
2018-11-19,65.989998,66.800003,65.589996,65.699997,65.699997,0
2018-11-20,65.809998,65.839996,63.900002,65.169998,65.169998,0
2018-11-21,65.639999,67.559998,65.629997,67.199997,67.199997,0
2018-11-23,66.650002,66.800003,65.010002,65.269997,65.269997,0
2018-11-26,65.540001,66.419998,64.599998,64.730003,64.730003,0
2018-11-27,64.709999,64.760002,62.970001,63.549999,63.549999,0
2018-11-28,63.400002,65.860001,63.099998,65.529999,65.529999,0
2018-11-29,65.900002,66.110001,64.790001,64.800003,64.800003,0
2018-11-30,64.379997,64.790001,63.490002,64.459999,64.459999,0
2018-12-03,65.360001,66.239998,64.889999,65.839996,65.839996,0
2018-12-04,66.470001,67.209999,65.949997,66.160004,66.160004,0
2018-12-06,66.169998,66.820000,65.510002,66.349998,66.349998,0
2018-12-07,66.989998,68.449997,66.639999,67.940002,67.940002,0
2018-12-10,67.730003,68.800003,66.949997,67.400002,67.400002,0
2018-12-11,67.889999,68.279999,66.800003,67.089996,67.089996,0
2018-12-12,67.400002,68.949997,67.330002,68.639999,68.639999,0
2018-12-13,68.589996,69.029999,68.230003,68.750000,68.750000,0
2018-12-14,68.050003,68.349998,67.330002,67.589996,67.589996,0
2018-12-17,67.849998,69.540001,67.830002,69.190002,69.190002,0
2018-12-18,69.150002,71.050003,69.000000,70.610001,70.610001,0
2018-12-19,70.809998,72.220001,66.589996,66.610001,66.610001,0
2018-12-20,67.620003,70.250000,67.610001,69.790001,69.790001,0
2018-12-21,69.540001,70.080002,68.220001,68.669998,68.669998,0
2018-12-24,69.290001,70.699997,69.230003,70.550003,70.550003,0
2018-12-26,71.250000,71.500000,69.059998,69.980003,69.980003,0
2018-12-27,70.110001,70.779999,69.650002,70.779999,70.779999,0
2018-12-28,70.599998,70.989998,69.449997,69.680000,69.680000,0
2018-12-31,69.870003,70.660004,68.919998,70.660004,70.660004,0
2019-01-02,70.440002,71.790001,69.860001,70.940002,70.940002,0
2019-01-03,71.470001,72.389999,70.860001,72.169998,72.169998,0
2019-01-04,71.419998,72.230003,70.570000,71.870003,71.870003,0
2019-01-07,72.339996,72.459999,70.980003,71.199997,71.199997,0
2019-01-08,70.769997,71.669998,70.230003,71.470001,71.470001,0
2019-01-09,71.540001,72.849998,71.540001,72.779999,72.779999,0
2019-01-10,72.570000,72.720001,71.110001,71.570000,71.570000,0
2019-01-11,71.860001,72.269997,71.500000,71.709999,71.709999,0
2019-01-14,72.120003,72.190002,70.760002,71.150002,71.150002,0
2019-01-15,71.199997,71.239998,68.910004,69.370003,69.370003,0
2019-01-16,69.410004,70.059998,69.099998,69.540001,69.540001,0
2019-01-17,69.379997,69.669998,69.040001,69.529999,69.529999,0
2019-01-18,69.059998,69.400002,68.129997,68.379997,68.379997,0
2019-01-22,68.550003,68.849998,67.910004,68.739998,68.739998,0
2019-01-23,68.680000,69.169998,68.129997,68.860001,68.860001,0
2019-01-24,68.709999,69.000000,68.320000,68.570000,68.570000,0
2019-01-25,69.389999,71.279999,69.389999,71.169998,71.169998,0
2019-01-28,71.320000,71.959999,71.209999,71.650002,71.650002,0
2019-01-29,72.339996,73.610001,72.050003,73.519997,73.519997,0
2019-01-30,73.449997,75.589996,73.070000,74.529999,74.529999,0
2019-01-31,75.139999,76.320000,75.120003,76.300003,76.300003,0
2019-02-01,76.089996,76.250000,74.699997,75.910004,75.910004,0
2019-02-04,75.089996,76.010002,74.620003,75.820000,75.820000,0
2019-02-05,75.779999,76.320000,75.120003,76.309998,76.309998,0
2019-02-06,75.610001,76.599998,75.199997,75.360001,75.360001,0
2019-02-07,75.330002,75.680000,74.480003,74.760002,74.760002,0
2019-02-08,75.019997,76.010002,74.930000,75.750000,75.750000,0
2019-02-11,75.070000,75.459999,74.760002,74.809998,74.809998,0
2019-02-12,75.230003,75.239998,73.949997,74.279999,74.279999,0
2019-02-13,74.360001,75.269997,73.750000,74.040001,74.040001,0
2019-02-14,73.900002,74.629997,73.410004,74.500000,74.500000,0
2019-02-15,74.849998,75.650002,74.019997,75.639999,75.639999,0
2019-02-19,76.169998,79.180000,76.139999,78.820000,78.820000,0
2019-02-20,79.309998,80.760002,78.889999,79.419998,79.419998,0
2019-02-21,78.779999,78.779999,77.660004,78.300003,78.300003,0
2019-02-22,78.480003,79.820000,78.410004,78.610001,78.610001,0
2019-02-25,78.500000,78.940002,77.839996,77.870003,77.870003,0
2019-02-26,77.730003,78.129997,76.320000,77.699997,77.699997,0
2019-02-27,77.550003,77.739998,75.839996,76.260002,76.260002,0
2019-02-28,76.169998,76.339996,75.480003,75.849998,75.849998,0
2019-03-01,75.199997,76.180000,73.959999,74.040001,74.040001,0
2019-03-04,73.650002,74.620003,72.949997,74.610001,74.610001,0
2019-03-05,74.500000,74.910004,74.150002,74.910004,74.910004,0
2019-03-06,74.919998,74.919998,73.070000,73.150002,73.150002,0
2019-03-07,73.080002,73.959999,72.660004,73.629997,73.629997,0
2019-03-08,74.599998,76.059998,74.050003,76.019997,76.019997,0
2019-03-11,75.839996,76.379997,74.349998,75.529999,75.529999,0
2019-03-12,75.980003,77.150002,75.980003,77.070000,77.070000,0
2019-03-13,77.400002,78.000000,76.760002,77.419998,77.419998,0
2019-03-14,76.449997,76.449997,75.199997,75.330002,75.330002,0
2019-03-15,75.769997,76.699997,75.089996,76.050003,76.050003,0
2019-03-18,76.150002,76.430000,75.000000,75.120003,75.120003,0
2019-03-19,75.849998,76.190002,75.370003,75.400002,75.400002,0
2019-03-20,75.290001,77.150002,73.930000,76.820000,76.820000,0
2019-03-21,76.930000,77.410004,75.839996,77.290001,77.290001,0
2019-03-22,77.089996,77.980003,76.790001,77.379997,77.379997,0
2019-03-25,77.680000,79.440002,77.610001,79.269997,79.269997,0
2019-03-26,78.699997,79.769997,78.349998,79.669998,79.669998,0
2019-03-27,79.570000,79.889999,78.389999,78.510002,78.510002,0
2019-03-28,77.629997,77.629997,75.980003,76.500000,76.500000,0
2019-03-29,77.120003,77.459999,76.320000,76.360001,76.360001,0
2019-04-01,76.620003,76.930000,74.599998,75.089996,75.089996,0
2019-04-02,75.070000,75.599998,74.889999,75.279999,75.279999,0
2019-04-03,75.589996,75.989998,75.269997,75.419998,75.419998,0
2019-04-04,75.000000,77.139999,74.449997,77.089996,77.089996,0
2019-04-05,76.900002,76.970001,76.260002,76.839996,76.839996,0
2019-04-08,77.680000,78.080002,77.290001,77.809998,77.809998,0
2019-04-09,78.050003,78.059998,77.360001,77.970001,77.970001,0
2019-04-10,77.709999,78.139999,76.930000,76.970001,76.970001,0
2019-04-11,76.150002,76.690002,75.410004,75.980003,75.980003,0
2019-04-12,76.029999,76.410004,75.610001,75.779999,75.779999,0
2019-04-15,75.239998,76.110001,74.860001,75.930000,75.930000,0
2019-04-16,75.330002,75.339996,74.440002,74.550003,74.550003,0
2019-04-17,74.669998,75.059998,73.449997,73.919998,73.919998,0
2019-04-18,73.779999,74.309998,72.370003,72.889999,72.889999,0
2019-04-22,72.980003,72.980003,71.430000,71.620003,71.620003,0
2019-04-23,71.089996,71.529999,70.820000,71.080002,71.080002,0
2019-04-24,71.080002,72.370003,70.540001,71.709999,71.709999,0
2019-04-25,71.980003,71.989998,70.459999,70.629997,70.629997,0
2019-04-26,71.129997,72.879997,71.099998,72.650002,72.650002,0
2019-04-29,72.290001,72.300003,70.699997,70.900002,70.900002,0
2019-04-30,70.970001,71.529999,70.860001,71.160004,71.160004,0
2019-05-01,70.959999,71.519997,69.150002,69.589996,69.589996,0
2019-05-02,69.080002,69.220001,68.050003,68.250000,68.250000,0
2019-05-03,68.940002,69.650002,68.730003,68.790001,68.790001,0
2019-05-06,68.639999,69.260002,68.370003,68.769997,68.769997,0
2019-05-07,68.849998,69.930000,68.169998,69.690002,69.690002,0
2019-05-08,69.919998,70.550003,68.029999,68.339996,68.339996,0
2019-05-09,68.300003,69.120003,67.760002,67.989998,67.989998,0
2019-05-10,68.120003,68.160004,67.160004,67.290001,67.290001,0
2019-05-13,68.110001,68.900002,67.209999,68.809998,68.809998,0
2019-05-14,68.760002,68.820000,67.769997,68.389999,68.389999,0
2019-05-15,68.620003,68.839996,68.230003,68.300003,68.300003,0
2019-05-16,68.230003,68.290001,66.930000,67.430000,67.430000,0
2019-05-17,67.169998,67.680000,66.680000,67.489998,67.489998,0
2019-05-20,67.480003,67.910004,67.230003,67.250000,67.250000,0
2019-05-21,67.070000,67.419998,66.599998,67.419998,67.419998,0
2019-05-22,67.500000,67.510002,65.849998,66.139999,66.139999,0
2019-05-23,66.430000,67.529999,66.150002,66.209999,66.209999,0
2019-05-24,66.339996,66.760002,66.019997,66.559998,66.559998,0
2019-05-28,66.309998,66.680000,65.879997,66.239998,66.239998,0
